model_id,architecture,paradigm,parameters_m,gflops_640,val_map50,val_map50_95,test_map50,test_map50_95,val_accuracy,test_accuracy,val_macro_f1,test_macro_f1,latency_gpu_ms,fps_gpu,val_map75,test_map75,per_class_test_ap
dinov2_vitl14,DINOv2 ViT-L/14 (Linear Probe Baseline),Frozen Foundation ViT,304.3,,,,,,0.3173,0.4751,0.2881,0.4691,,,,,
yolo11m,YOLOv11m (Spatial Attention CNN),Anchor-Free CNN,20.06,,0.8332,0.7375,0.7854,0.6167,,,,,4.76,210.0,0.7445,0.5992,"{'001_azn': {'ap50': 0.8849, 'ap50_95': 0.6613}, '005_azn': {'ap50': 0.8748, 'ap50_95': 0.7975}, '010_azn': {'ap50': 0.7982, 'ap50_95': 0.7453}, '020_azn': {'ap50': 0.41, 'ap50_95': 0.2724}, '050_azn': {'ap50': 0.9383, 'ap50_95': 0.564}, '100_azn': {'ap50': 0.9946, 'ap50_95': 0.9491}, '200_azn': {'ap50': 0.5967, 'ap50_95': 0.3271}}"
yolov8m,YOLOv8m (Anchor-Free CNN),Anchor-Free CNN,25.86,,0.8079,0.7074,0.7558,0.5783,,,,,4.39,227.7,0.7221,0.568,"{'001_azn': {'ap50': 0.8124, 'ap50_95': 0.6186}, '005_azn': {'ap50': 0.8581, 'ap50_95': 0.7722}, '010_azn': {'ap50': 0.7876, 'ap50_95': 0.7101}, '020_azn': {'ap50': 0.448, 'ap50_95': 0.2807}, '050_azn': {'ap50': 0.8543, 'ap50_95': 0.5051}, '100_azn': {'ap50': 0.9559, 'ap50_95': 0.8656}, '200_azn': {'ap50': 0.5745, 'ap50_95': 0.2957}}"
rtdetr_l,RT-DETR-L (Real-Time Vision Transformer),Vision Transformer,32.82,,0.8073,0.7014,0.6965,0.5368,,,,,10.94,91.4,0.713,0.5186,"{'001_azn': {'ap50': 0.8293, 'ap50_95': 0.6182}, '005_azn': {'ap50': 0.8027, 'ap50_95': 0.7295}, '010_azn': {'ap50': 0.7834, 'ap50_95': 0.6932}, '020_azn': {'ap50': 0.3373, 'ap50_95': 0.2025}, '050_azn': {'ap50': 0.6779, 'ap50_95': 0.3951}, '100_azn': {'ap50': 0.9522, 'ap50_95': 0.8639}, '200_azn': {'ap50': 0.4929, 'ap50_95': 0.255}}"
