arm_id,display_name,resolution,batch_size,status,train_time_minutes,peak_vram_mb,val_map50,val_map50_95,test_map50,test_map50_95,latency_gpu_ms,fps_gpu,per_class_test_ap
res_320,Arm 1: Mobile Edge (320x320),320,16,SUCCESS,14.35,2905.9,0.9448,0.8886,0.8929,0.8089,3.35,299.0,"{'001_azn': {'ap50': 0.8507664871727293, 'ap50_95': 0.8507664871727293}, '005_azn': {'ap50': 0.7037345636628916, 'ap50_95': 0.7037345636628916}, '010_azn': {'ap50': 0.725866907194064, 'ap50_95': 0.725866907194064}, '020_azn': {'ap50': 0.7562551248690321, 'ap50_95': 0.7562551248690321}, '050_azn': {'ap50': 0.8228452957360926, 'ap50_95': 0.8228452957360926}, '100_azn': {'ap50': 0.9066127861317371, 'ap50_95': 0.9066127861317371}, '200_azn': {'ap50': 0.8965657323782675, 'ap50_95': 0.8965657323782675}}"
res_640,Arm 2: Standard Baseline (640x640),640,16,SUCCESS,21.79,7748.0,0.9629,0.9173,0.9476,0.8656,5.65,176.9,"{'001_azn': {'ap50': 0.9023930319504692, 'ap50_95': 0.9023930319504692}, '005_azn': {'ap50': 0.8269429850083663, 'ap50_95': 0.8269429850083663}, '010_azn': {'ap50': 0.7769769931605973, 'ap50_95': 0.7769769931605973}, '020_azn': {'ap50': 0.8898078067465717, 'ap50_95': 0.8898078067465717}, '050_azn': {'ap50': 0.7980018525865058, 'ap50_95': 0.7980018525865058}, '100_azn': {'ap50': 0.9505662527538445, 'ap50_95': 0.9505662527538445}, '200_azn': {'ap50': 0.9146956499323867, 'ap50_95': 0.9146956499323867}}"
res_1280,Arm 3: High-Fidelity Numismatic (1280x1280),1280,8,SUCCESS,33.02,15384.4,0.8832,0.5964,0.7519,0.465,17.43,57.4,"{'001_azn': {'ap50': 0.5376488304257301, 'ap50_95': 0.5376488304257301}, '005_azn': {'ap50': 0.42425913512115854, 'ap50_95': 0.42425913512115854}, '010_azn': {'ap50': 0.3588322492267991, 'ap50_95': 0.3588322492267991}, '020_azn': {'ap50': 0.4278571725206922, 'ap50_95': 0.4278571725206922}, '050_azn': {'ap50': 0.41345918077487626, 'ap50_95': 0.41345918077487626}, '100_azn': {'ap50': 0.5638901640713676, 'ap50_95': 0.5638901640713676}, '200_azn': {'ap50': 0.5289629800596757, 'ap50_95': 0.5289629800596757}}"
