arm_id,display_name,status,train_time_minutes,val_map50,val_map50_95,test_map50,test_map50_95,mono_test_map50,mono_test_map50_95,shortcut_reliance_score,latency_gpu_ms,fps_gpu,per_class_test_ap
arm1_rgb_full,Arm 1: Full Color (RGB Baseline),SUCCESS,22.6,0.9629,0.9173,0.9476,0.8656,0.4526,0.3935,0.5224,5.51,181.4,"{'001_azn': {'ap50': 0.9023930319504692, 'ap50_95': 0.9023930319504692}, '005_azn': {'ap50': 0.8269429850083663, 'ap50_95': 0.8269429850083663}, '010_azn': {'ap50': 0.7769769931605973, 'ap50_95': 0.7769769931605973}, '020_azn': {'ap50': 0.8898078067465717, 'ap50_95': 0.8898078067465717}, '050_azn': {'ap50': 0.7980018525865058, 'ap50_95': 0.7980018525865058}, '100_azn': {'ap50': 0.9505662527538445, 'ap50_95': 0.9505662527538445}, '200_azn': {'ap50': 0.9146956499323867, 'ap50_95': 0.9146956499323867}}"
arm2_hsv_space,Arm 2: Decoupled Chromaticity (HSV Color Space),SUCCESS,21.55,0.9492,0.902,0.7975,0.729,0.3037,0.2693,0.6192,4.78,209.2,"{'001_azn': {'ap50': 0.9009844287019643, 'ap50_95': 0.9009844287019643}, '005_azn': {'ap50': 0.739421451047537, 'ap50_95': 0.739421451047537}, '010_azn': {'ap50': 0.7860981183110459, 'ap50_95': 0.7860981183110459}, '020_azn': {'ap50': 0.9190651856532559, 'ap50_95': 0.9190651856532559}, '050_azn': {'ap50': 0.3533390733187438, 'ap50_95': 0.3533390733187438}, '100_azn': {'ap50': 0.7030429114318443, 'ap50_95': 0.7030429114318443}, '200_azn': {'ap50': 0.7013425236817243, 'ap50_95': 0.7013425236817243}}"
arm3_grayscale_shortcut,Arm 3: Monochromatic Shortcut Test (Grayscale),SUCCESS,21.32,0.9138,0.8617,0.8452,0.7654,0.8452,0.7654,0.0,4.57,218.7,"{'001_azn': {'ap50': 0.922178591574507, 'ap50_95': 0.922178591574507}, '005_azn': {'ap50': 0.8105243724614924, 'ap50_95': 0.8105243724614924}, '010_azn': {'ap50': 0.7684507649938366, 'ap50_95': 0.7684507649938366}, '020_azn': {'ap50': 0.9303936507936508, 'ap50_95': 0.9303936507936508}, '050_azn': {'ap50': 0.4073563672282268, 'ap50_95': 0.4073563672282268}, '100_azn': {'ap50': 0.7622039318545407, 'ap50_95': 0.7622039318545407}, '200_azn': {'ap50': 0.756557594252002, 'ap50_95': 0.756557594252002}}"
