arm_id,display_name,status,train_time_minutes,val_map50,val_map50_95,val_map75,test_map50,test_map50_95,test_map75,generalization_gap_map50,latency_gpu_ms,fps_gpu,per_class_test_ap,hyperparameters
arm1_none_raw,Arm 1: Raw Baseline (Zero Augmentation),SUCCESS,22.12,0.9439,0.9211,0.9362,0.8476,0.7828,0.8015,0.0964,5.51,181.6,"{'001_azn': {'ap50': 0.9233041401867192, 'ap50_95': 0.9233041401867192}, '005_azn': {'ap50': 0.820894503707905, 'ap50_95': 0.820894503707905}, '010_azn': {'ap50': 0.5481501719286124, 'ap50_95': 0.5481501719286124}, '020_azn': {'ap50': 0.6192205800617527, 'ap50_95': 0.6192205800617527}, '050_azn': {'ap50': 0.7684050365229502, 'ap50_95': 0.7684050365229502}, '100_azn': {'ap50': 0.9217544210568338, 'ap50_95': 0.9217544210568338}, '200_azn': {'ap50': 0.8779005424652665, 'ap50_95': 0.8779005424652665}}","{'mosaic': 0.0, 'mixup': 0.0, 'fliplr': 0.0, 'hsv_h': 0.0, 'hsv_s': 0.0, 'hsv_v': 0.0, 'degrees': 0.0, 'translate': 0.0, 'scale': 0.0, 'shear': 0.0, 'perspective': 0.0}"
arm2_geometric,"Arm 2: Pure Geometric (Rotation, Scale, Shear, Flip)",SUCCESS,14.01,0.9379,0.6915,0.873,0.7515,0.5063,0.6195,0.1863,4.59,217.7,"{'001_azn': {'ap50': 0.6600690639251181, 'ap50_95': 0.6600690639251181}, '005_azn': {'ap50': 0.5049309857168911, 'ap50_95': 0.5049309857168911}, '010_azn': {'ap50': 0.3230963120011808, 'ap50_95': 0.3230963120011808}, '020_azn': {'ap50': 0.4408195039277631, 'ap50_95': 0.4408195039277631}, '050_azn': {'ap50': 0.4566595087058783, 'ap50_95': 0.4566595087058783}, '100_azn': {'ap50': 0.5935475022559764, 'ap50_95': 0.5935475022559764}, '200_azn': {'ap50': 0.5648188868753983, 'ap50_95': 0.5648188868753983}}","{'mosaic': 0.0, 'mixup': 0.0, 'fliplr': 0.5, 'degrees': 15.0, 'translate': 0.15, 'scale': 0.5, 'shear': 2.5, 'perspective': 0.0005, 'hsv_h': 0.0, 'hsv_s': 0.0, 'hsv_v': 0.0}"
arm3_photometric,Arm 3: Pure Photometric (Color Jitter & Lighting),SUCCESS,21.91,0.9453,0.9222,0.9332,0.8626,0.8015,0.8315,0.0827,4.6,217.4,"{'001_azn': {'ap50': 0.922672594918617, 'ap50_95': 0.922672594918617}, '005_azn': {'ap50': 0.7343045649803168, 'ap50_95': 0.7343045649803168}, '010_azn': {'ap50': 0.6114361572681248, 'ap50_95': 0.6114361572681248}, '020_azn': {'ap50': 0.6667333104999417, 'ap50_95': 0.6667333104999417}, '050_azn': {'ap50': 0.791649559621217, 'ap50_95': 0.791649559621217}, '100_azn': {'ap50': 0.9492091647589953, 'ap50_95': 0.9492091647589953}, '200_azn': {'ap50': 0.9344246794871796, 'ap50_95': 0.9344246794871796}}","{'mosaic': 0.0, 'mixup': 0.0, 'fliplr': 0.0, 'degrees': 0.0, 'translate': 0.0, 'scale': 0.0, 'shear': 0.0, 'perspective': 0.0, 'hsv_h': 0.025, 'hsv_s': 0.7, 'hsv_v': 0.4}"
arm4_full_composite,"Arm 4: Full Composite (Mosaic, Mixup, Geometric & Color)",SUCCESS,22.01,0.9709,0.8804,0.9587,0.9543,0.8377,0.9409,0.0165,4.62,216.5,"{'001_azn': {'ap50': 0.8839648190188705, 'ap50_95': 0.8839648190188705}, '005_azn': {'ap50': 0.8063616088065952, 'ap50_95': 0.8063616088065952}, '010_azn': {'ap50': 0.7803360988157567, 'ap50_95': 0.7803360988157567}, '020_azn': {'ap50': 0.8801364131057395, 'ap50_95': 0.8801364131057395}, '050_azn': {'ap50': 0.7819210357865622, 'ap50_95': 0.7819210357865622}, '100_azn': {'ap50': 0.8900913881290325, 'ap50_95': 0.8900913881290325}, '200_azn': {'ap50': 0.8411177466542673, 'ap50_95': 0.8411177466542673}}","{'mosaic': 1.0, 'mixup': 0.15, 'copy_paste': 0.1, 'fliplr': 0.5, 'degrees': 15.0, 'translate': 0.15, 'scale': 0.5, 'shear': 2.5, 'perspective': 0.0005, 'hsv_h': 0.025, 'hsv_s': 0.7, 'hsv_v': 0.4}"
